Category,Stakeholder,Product,Question,Answer
Digital Services,Digital Factory,KYC,How to Update KYC Information on Warba App:,"Customers can update their KYC information in 4 steps:
Identity check: Confirm if you are a US citizen, stateless nationality, or politically exposed person.
Personal information: Update your resident address, employment status, source of income and banks you are dealing with.
Transaction Volume: Update your expected transaction volume.
Tax information: Update your residency and tax identification number."
Digital Services,Digital Factory,Oasis Club Airmiles,Oasis Club Airmiles:,"Oasis Club is a loyalty program offered by Kuwait Airways based on airmiles. With Warba Bank's ""Pocket"" digital loyalty program, customers can redeem their Pocket points for Kuwait Oasis Club airmiles."
Digital Services,Digital Factory,Oasis Club Airmiles,Redeeming Pocket Points for Oasis Club Airmiles:,"To redeem Pocket points for Oasis Club Airmiles, customers need to have an active membership account with Oasis Club. They can follow these steps:
Go to the ""Pocket"" account and select ""Exchange Pocket points for Kuwait Airways miles.""
Enter the number of points you would like to exchange and agree to the terms and conditions.
Upon successful processing, your air miles will be credited to your Kuwait Oasis Club account.
If you don't have an Oasis Club membership, you can create one by visiting the Oasis Club website. After creating your account, the service should be available within 7 working days on Warba Pocket."
Digital Services,Digital Factory,Oasis Club Airmiles,Redeeming Pocket Points for Oasis Club Airmiles conversion rate calculation:,"The conversion rate is 1 to 1 ratio, for example if the customer have 100 Pocket points can be exchanged for 100 Kuwait Airways miles,   if the customer have 1000 Pocket points can be exchanged for 1000 Kuwait Airways miles, etc."
Digital Services,Digital Factory,Hassala,Hassala:,"Hassala is a digital savings system offered by Warba Bank that helps customers save for their needs and goals. With Hassala, customers can easily manage their savings and reach their goals faster."
Digital Services,Digital Factory,Hassala,Creating a Hassala:,"To create a Hassala, customers can follow these steps:
1.	Open Warba Online App
2.	Choose create new Hassala 
3.	Choose a goal for your Hassala
4.	Choose photo for your Hassala
5.	Choose your Hassala amount
6.	Set a date to reach your Hassala goal
7.	Accept Terms and Conditions "
Digital Services,Digital Factory,Hassala,Ways to Save in Hassala:,"Customers can save in Hassala through several methods, including:
Kharda: Transfer all the remaining funds into your Hassala daily.
Save as you spend: A predefined amount will be matched with every POS transaction you make and will be saved in your Hassala.
Sweep: Transfers any excess amount above the set account threshold to the Smart Savings account.
Automated Transfer: A standing order defined by the user for weekly or monthly transfers.
TopUp: A manual funding transaction initiated by the user at any moment."
Digital Services,Digital Factory,Hassala Kids,Hassala Kids:,"Hassala Kids is a unique savings app designed to educate children about the importance of saving in a fun way. With Hassala Kids, children can monitor their savings, track their goals, and view all their transactions. The benefits of Hassala Kids include increased engagement between children and guardians, full control over children's Hassalas by guardians, and a new way to reward children."
Digital Services,Digital Factory,Hassala Kids,Hassala Kids:,"To create hassala for kids follow the steps: 
1- Through Warba Bank app’s main screen, select create a “Hassala”, then define a name for the Hassala and a goal.
2- Click on “Link Hassala” and enter the kid’s details then create a PIN code for your child.
3- To complete the process, download the “Hassala Kids” app on your child’s device and enter your child’s Civil ID and PIN code."
Digital Services,Digital Factory,Postshipper Service,Postshipper Service:,"A mail forwarding company that allows its customers to obtain UK and USA local shipping addresses for international purchases and shipments of items to local addresses in Kuwait. Customers can order, track, and pay for these shipments through the Warba app and receive their items through different couriers at competitive rates."
Digital Services,Digital Factory,Personal Finance Management,Personal Finance Management:,"An advanced dashboard service that helps clients control their net worth. The main features include My Portfolio, which provides access to the client's assets in a graph showing their net worth, My Cashflow, which displays the inflow and outflow of money, and My Spending and Budget, which tracks spending trends and allows clients to set a budget plan. The service also provides updates on the client's banking experience with Warba Bank, as well as services such as Hassalaty, Payment Due, Request History, and the ability to fully customize the look and feel of the dashboard through the settings."
Digital Services,Digital Factory,Super Transfer,Super Transfer (Service by Mastercard):,"An international remittance service offered by Warba Bank that enables its retail customers to transfer funds internationally to predefined beneficiaries in a convenient and easy way. The service offers competitive FX rates, the ability to track transaction status, and ensures that the full amount remitted is received by the beneficiary. The two modes of transfer available are Bank Account transfer and Mobile Wallet transfer."
Digital Services,Digital Factory,Mustashar ,Mustashar Product:,"A digital service from Warba Bank that provides tips and smart solutions to improve the customer's experience when using the bank's application. The service uses artificial intelligence to analyze available data and provide smart banking advice, as well as navigate customers to the required services directly and provide fast assistance."
Digital Services,Digital Factory,Express Finance,Express Finance - Cash:,"A financial financing product offered by Warba Bank that allows customers to obtain a finance of up to KD 250,000 in the form of Musawama, in return for holding funds as an investment. The guarantee held can be from a Savings account, Premium Saving account, Sunbula account, or Wakala fixed deposit. The product offers financing of up to KD 250,000, does not require a salary transfer, and is compatible with Sharia principles."
Digital Services,Digital Factory,Split Bill,Split Bill:,"A digital service that allows Warba Bank customers to request payments from anyone with a phone number and an ATM card for a local bank. Customers can go to the services tab in the Warba Bank app, choose the Pay Me service, and then choose between contacts for single or multiple money requests. The service allows customers to request from KD 5 to KD 500 per link, request up to KD 5,000 per month, track payment requests, send requests to 10 people a day, and send 10 links to the same person per day."
Digital Services,Digital Factory,Smart Cash,Smart Cash:,A digital service provided by Warba Bank that enables customers to transfer a cash amount from their credit card to their account directly and without any fees.
Digital Services,Digital Factory,Smart Cash,Steps of Smart Cash:,"Step are as follow:
1- Log in to Warba service via the application.
2- Select the credit card tab, then the service ""Smart Cash"".
3- The exact amount for this process will be calculated and displayed. You can adjust the desired amount and then click on ""Submit Request"".
4- Enter the password, then press ""Confirm"".
5- Upon successful completion of the application, the calculated amount will be deducted from the card immediately and deposited into customer's salary account."
Digital Services,Digital Factory,Jam3eya Digital Product,What is Jam3eya?,Jam3eya is a new and advanced digital solution that transforms one of our social habits. This service provides a simple and organized way of handling group expenses.
Digital Services,Digital Factory,Jam3eya Digital Product,Benefits of Jam3eya:,"Select the monthly Jam3iya amount
Pick the number of participants
Choose the goal of the Jam3eya
Keep track of the invitations
Track monthly payments"
Digital Services,Digital Factory,My Budget Digital Product,What is My Budget?,My Budget is a service provided by Warba App that enables you to define your monthly expenses. This service helps you keep track of your monthly expenses and make smart financial decisions.
Digital Services,Digital Factory,My Budget Digital Product,Benefits of My Budget:,"Ease of setting a monthly plan
Help keep track of the monthly expenses
Save the monthly plan in the application
Ability to adjust the budget at any time
Notifications in case of exceeding the specified plan"
Digital Services,Digital Factory,Dashboard Service,What is Dashboard?,Warba Bank provides a smart platform that enables customers to track their spending and make smart financial decisions. This platform is known as Dashboard.
Digital Services,Digital Factory,Dashboard Service,Benefits of Dashboard:,"Track your monthly expenses
View spent amounts
Calculate your expenses of all types
Follow-up due payments
Follow up financial requests record
Know updates such as installments, payment dates, etc."
Digital Services,Digital Factory,Shake and Share Service,What is Shake and Share?,Shake and Share is a service provided by Warba Bank that allows customers to report any issue or suggest a new feature in the application. This service provides a convenient and efficient way of communicating with the bank.
Digital Services,Digital Factory,Shake and Share Service,Benefits of Shake and Share:,"Ease of submitting suggestions.
No need to visit the bank.
Submit wherever you are.
Report your issue immediately."
Digital Services,Digital Factory,My Portfolio Product,What is My Portfolio?,"My Portfolio is a list that contains all the details of your accounts, credit cards, investment deposits, and debts. This service provides a comprehensive overview of your financial status."
Digital Services,Digital Factory,Social Circle Service,Social Circle:,"Social Circle is a service that allows you to create and control all your beneficiaries with ease.
- You can add Family member by entering his name and Civil ID
- You can view all the Warba, local and International Beneficiaries
- You can view all Super Transfer and Western Union beneficiaries
- You can Create and view all Jam3eya your join with and see all the details "
Digital Services,Digital Factory,My Credit Cards,What is Apply for Credit Card?,Apply for Credit Card is a service that enables you to request the credit card that suits your banking needs.
Digital Services,Digital Factory,Open & Manage Deposits,What is Open & Manage Deposits?,Open & Manage Deposits is a service that allows you to create and control various types of deposits with ease.
Digital Services,Digital Factory,Activate Cards Service,What is Activate Cards?,Activate Debit Cards is a service that enables you to activate your cards through the Warba Bank application with ease.
Digital Services,Digital Factory,Transfer Money Service,What is Transfer Money?,Transfer Money is a service that allows you to easily transfer money with Warba Bank app.
Digital Services,Digital Factory,Safe Login Service,What is Safe Login?,Safe Login is a feature that enables you to access the Warba Bank application safely by using face print technology.
Digital Services,Digital Factory,Payment Services,What is the Payment Services?,The payment services offered by Warba Bank allow customers to purchase digital cards through the Warba Bank application.
Digital Services,Digital Factory,Mobile Bill Payments,Mobile Bills Payments:,Warba Bank offers a mobile bill payment service that allows customers to pay and schedule phone bills easily and securely.
General Information,Digital Factory,Branch & ATM Locations,Where are the Branch & ATM Locations?,All Warba Bank branch locations and ATMs can be found in the Warba App and the Warba Bank website https://www.warbabank.com/english/locate-us 
General Information,Branches ,Branches of Warba Bank,Branches of Warba Bank:,"Warba Bank has 17 branches, 19 branch ATMs, and 58 offsite ATMs in Kuwait."
General Information,Branches ,Branches of Warba Bank,Branches Locations:,"Warba Bank has branches located in several locations in Kuwait, including:
Avenues Mall, Grand Avenues 
Egaila 
Farwaniyah 
Jahra 
Sharq 
Mangaf 
Salmiyah 
Shuhada 
Mubarak Al-Abdullah 
Kaifan 
Kuwait Airport T4.
Hawally 
Adailiya 
Jaber Al-Ahmad 
Jaber Al-Ali 
Abu Fatira 
Fahaheel "
Digital Services,Digital Factory,Currency Exchange,What is Currency Exchange?,Customers can find out the currency exchange rates through the Warba Bank application.
Digital Services,Digital Factory,Finance Calculator,What is Finance Calculator?,The finance calculator provided by Warba Bank allows customers to calculate the required financing value and know the payment details.
Digital Services,Digital Factory,Prayer Times,What is Prayer Times?,The Warba Bank app allows customers to track prayer times and the direction of the Qiblah.
Digital Services,Digital Factory,Salaries List,What is Salaries List?,The salary disbursement schedule is available through the Warba Bank app.
Digital Services,Digital Factory,Western Union,What is Western union in Warba Bank?,"Warba Bank introduces Western Union, an international send money service that provides customers with the opportunity to send money internationally to selected beneficiaries."
Digital Services,Digital Factory,Western Union,Why send money through Western Union with Warba Bank?,"Sending money through Western Union with Warba Bank is quick and easy with competitive FX rates. The service also offers tracking transaction status, instant cash receiving by the beneficiary, multiple payout channels worldwide, a guarantee for the beneficiary to receive the full amount, loyalty programs, transfer discounts, and the ability to send money 24 hours a day, 7 days a week."
Digital Services,Digital Factory,Western Union,How to add a beneficiary in Western Union through Warba Bank application?,"To add a beneficiary in Western Union through the Warba Bank app, follow these steps:
1.	Open Warba Online App
2.	Go to Services 
3.	Choose Western Union  
4.	Select Add a new Beneficiary
5.	Add the beneficiary name 
6.	Choose the country you want to send the money to 
7.	Choose the beneficiary nationality 
8.	Add a description for the beneficiary
9.	Confirm it with the OTP that will be send to your phone number  "
Digital Services,Digital Factory,Western Union,How to send money with Western Union through Warba Bank application?,"To send money with Western Union through the Warba Bank app, follow these steps:
1.	Open Warba Online App
2.	Go to Services 
3.	Choose Western Union  
4.	Select Send Money
5.	Choose the beneficiary 
6.	Choose which account would you like to send from
7.	Choose the purpose of sending money 
8.	How much you want to send
9.	Accept the terms & conditions 
10.	Confirm the transaction with your Warba App password"
Digital Services,Digital Factory,Western Union,How to track your transfer of Western Union or Cancel the Western Union transfer?,"To track your transfer of Western Union or cancel the transfer, follow these steps:
1-Click on “Western Union “.
2-Select “History "" Tap.
3-View your transaction details/status.
4-To cancel transaction, click on Refund Money."
Digital Services,Digital Factory,I Pay Service,I Pay Service:,"The I Pay service is an instant payment service provided by Warba Bank that allows customers to make fast and safe payments to beneficiaries with local banks using the Knet gateway. The conditions for using the I Pay service are as follows:
Minimum amount: 5 KD
Maximum amount per day: 1000 KD
Maximum amount per month: 5000 KD
Maximum amount per transaction: 500 KD
Payment link validity: 24 hours"
Digital Services,Digital Factory,Kuwait Clearing Company (Maqasa),Kuwait Clearing Company (Maqasa):,"With Warba Bank, customers can keep up with the stock market through the Kuwait Clearing Company (Maqasa) service. The service displays all the available shares in KCC and their last closed market price by Borusa Kuwait. The benefits of using the Kuwait Clearing Company (Maqasa) service are:
Simple integration with KCC
No need to know the trading ID
No need for any further documents from the customer
Shows all shares available in KCC and their last closed market price by Borusa Kuwait
Free of charge service"
Digital Services,Digital Factory,Kuwait Clearing Company (Maqasa),Subscribe to the Kuwait Clearing Company (Maqasa) service,"To subscribe to the Kuwait Clearing Company (Maqasa) service, customers need to follow these steps:
Go to the “KCC Widget” from the dashboard.
Click on “Link Your KCC account”
Read and agree to the terms and conditions.
Enter your password for verification."
Digital Services,Digital Factory,Private Housing Finance,Private Housing Finance:,"Warba Bank also offers a unique service called Private Housing Finance, which allows customers to benefit from calculating and displaying the discretionary deal for housing finance. "
Digital Services,Digital Factory,Private Housing Finance,To use the Private Housing Finance service:,"To use the Private Housing Finance service, customers need to follow these steps:
Click on the side menu “Other Options” and then click the “Private Housing Finance” icon
Select the finance amount, property type, down payment, and the duration needed
The full financed deal will be shown to the customer and they can continue the financing journey by tapping “Next”
In the income verification step, the customer should fill in all the incomes generated from:
a. Net business profit
b. Real estate incomes
c. Property target to purchase (optionally)
The customer can submit their request by filling in their name and mobile number
A general message will be shown, and one of Warba Bank's agents will contact the customer in a short time."
Digital Services,Digital Factory,Salary Transfer Certificate,Salary Transfer Certificate:,Warba Bank allows customers to request a Salary Transfer Certificate either by visiting a branch or through the Wabra mobile application. This service makes it convenient for customers to have their salary transfer certificate available at their fingertips.
SiDi,Digital Transformation,SiDi,SiDi Definition and conditions:,"SiDi is a digital wallet designed for only non-Kuwaiti individuals with salaries of 400 KD and below only. With SiDi, SiDi customers can enjoy a range of benefits and services that are fast, free, and secure.
SiDi stands for Simply Digital. It is a digital wallet with an IBAN number designed for only non-Kuwaiti individuals only with salaries of 400 KD and below. SiDi customers can access through the SiDi app on your smartphone. SiDi customers can use SiDi to receive their salary, pay their bills, transfer money, and more.
non-Kuwaiti individuals of salary above than KD 400 can not apply for SiDi.
SiDi customer can not apply for credit card or own one. The card type for SiDi customers is a Debit Card only."
SiDi,Digital Transformation,SiDi,"Benefits of SiDi:
What are the benefits of SiDi?","SiDi offers you many benefits, such as:
1- Digital onboarding through the SiDi app, available in 7 languages.
2- Free account opening with no minimum balance.
3- Free debit card issuance, delivery, and activation all through the SiDi app.
4- Hassle-free salary transfer service for SiDi customers to receive salaries securely through a dedicated IBAN
5- Cash withdrawal service on any ATM and cash deposit in Warba bank ATMs
6- International remittance services that allow you to send money home through the SiDi app.
7- Instant money transfer to other SiDi customers who have a SiDi wallet.
8- Free mobile bill payments"
SiDi,Digital Transformation,SiDi,"Becoming a SiDi customer:
How can people become a SiDi customer?","Becoming a SiDi customer is easy and quick. All you need to do is follow these steps:
1. Download the SiDi app from Google play store, Apple store, or Huawei App Gallery
2. Register with SiDi and start the onboarding journey
3. Provide basic information about yourself
4. Upload your Civil ID or Kuwait Mobile ID (make sure it's not expired or near expiry)
5. Record a video selfie
6. Share some details about your employment
7. Digitally sign and your application is complete"
SiDi,Digital Transformation,SiDi,"
Getting SiDi card method:
How can customer get his SiDi card?","Once customer complete his application, he/she will receive the SiDi card along with the SiDi wallet opening forms at their location. customer will need to sign the forms and hand them over to the courier."
SiDi,Digital Transformation,SiDi,"After the customer receives his SiDi card: 
What do customers do when he/she receive the SiDi card?","Before customer can use the SiDi card, customer will need to register a SiDi username and activate your card on the SiDi app. Here's how:
1. Go to the SiDi app and click on ""Register"" and ""Register SiDi application"".
2. Enter your account number, civil ID number, and mobile number.
3. Set three security questions and a security image for signing in.
4. Set a username and password to be used for signing in to the SiDi app."
SiDi,Digital Transformation,SiDi,"After registering a SiDi account:
What do I do after registering a SiDi account?","After registering a SiDi account, customer will need to activate your SiDi card on the SiDi app. Here's how:
1. After signing in to the SiDi app, click on ""Activate Card"" on the home page.
2. Enter your SiDi card 16 digits and select the expiry date.
3. Create a 4-digit PIN code and enter your password to confirm."
SiDi,Digital Transformation,SiDi,"Using SiDi debit card places:
Where can customer use the SiDi debit card?",customer can use the SiDi debit card anywhere in Kuwait and abroad where debit cards are accepted. customer can also use it for online purchases.
SiDi,Digital Transformation,SiDi,"Withdraw cash using the SiDi card:
Where can customer withdraw cash using the SiDi card?",customer can withdraw cash from any ATM that accepts K-Net cards domestically and internationally. customer can also deposit cash using his/her SiDi card in selected Warba bank ATMs.
SiDi,Digital Transformation,SiDi,"SiDi wallet statement
How can customers get the SiDi wallet statement?","customer can get the SiDi wallet statement for free through the SiDi app by following these steps:
1. On the SiDi app home screen, go to ""My Account"".
2. Click on ""Get Statement"" and select the timeframe for the statement."
SiDi,Digital Transformation,SiDi,"Deposit cash using SiDi card:
Can customers deposit cash using the SiDi card?","Yes, customers can deposit cash using their SiDi card in Avenues Mall, Egaila Warba ATM, Hawally Warba Branch ATM. To view all locations that allow cash deposit, click on this link: https://sidiwallet.com/cash-deposit/"
SiDi,Digital Transformation,SiDi,"
Method of deposit money to SiDi wallet:
How to deposit money to SiDi Wallet?","To deposit money to SiDi Wallet account, customer have several options. You can use the Request Money service through the SiDi app and ask someone to send you money using any K-Net card. You can also use the Split Bill feature and request money from your friends or family for shared expenses. Another option is to transfer money from another SiDi Wallet account using the Wallet to Wallet Transfer feature. If you have a Warba Bank account, you can also transfer money from there to your SiDi Wallet account. Finally, you can receive money from any other local bank in Kuwait using your SiDi Wallet IBAN number."
SiDi,Digital Transformation,SiDi,How to transfer money internationally using SiDi Wallet:,"With SiDi Wallet, customer can send money to his/her home country or anywhere in the world using two services: Super Transfer and Western Union. Super Transfer is a fast and secure service that allows you to transfer money to more than 50 countries with a flat fee of 2 KD per transaction. Western Union is a global leader in money transfer that lets you send money to more than 200 countries and territories with fees ranging from 1 to 8 KD depending on the destination. You don't need to visit a branch or fill out any forms to use these services. You can do everything from your SiDi app with a few taps."
SiDi,Digital Transformation,SiDi,Fees and tariffs for SiDi Wallet services:,"SiDi Wallet offers you many benefits and features at low or no cost. For example, you can get a debit card for free when you open an account and renew it for only 5 KD. You can also pay your mobile bills and buy e-vouchers for free using your SiDi app. You can withdraw cash from any Warba ATM for free as well. The only fees you will pay are for international transfers using Super Transfer or Western Union as we explained earlier."
SiDi,Digital Transformation,SiDi,Limits for international transfers using SiDi Wallet:,"SiDi Wallet has some limits for international transfers to ensure your security and compliance with regulations. The minimum amount you can send per transaction is 10 KD and the maximum is 500 KD. The maximum amount you can send in a day is 1,000 KD and in a month is 3,000 KD. These limits apply to both Super Transfer and Western Union services."
SiDi,Digital Transformation,SiDi,SiDi Card usage limits:,"SiDi Wallet gives you a debit card that you can use to pay for goods and services at any point of sale (POS) terminal or to withdraw cash from any ATM. However, there are some limits for using your SiDi card to ensure your security and compliance with regulations. The minimum amount you can spend per transaction at a POS terminal is 50 fils and the maximum is 500 KD. The maximum amount you can spend in a day at a POS terminal is 1,000 KD. The maximum amount you can withdraw per transaction from an ATM is 500 KD and the maximum amount you can withdraw in a day from an ATM is 1,000 KD."
SiDi,Digital Transformation,SiDi,Request Money and Split Bill services limits:,"SiDi Wallet also offers you two convenient features to request money from others: Request Money and Split Bill. Request Money allows you to generate a link that you can share with anyone to ask them to send you money using any K-Net card. Split Bill allows you to request money from your friends or family for shared expenses such as dining out, groceries, or gifts. However, there are some limits for using these services to ensure your security and compliance with regulations. The minimum amount you can request per transaction is 1 KD and the maximum is 150 KD. The maximum amount you can request in a day is 200 KD and in a month is 1,000 KD. The maximum number of links you can generate in a day is 10 and in a month is 20."
SiDi,Digital Transformation,SiDi,Local transfer limits for SiDi Wallet:,"SiDi Wallet also allows you to transfer money locally within Kuwait using two options: Wallet to Wallet Transfer and Incoming Bank Transfer. Wallet to Wallet Transfer lets you send money to another SiDi Wallet account using the recipient's phone number or QR code. Incoming Bank Transfer lets you receive money from any other local bank in Kuwait using your SiDi Wallet IBAN number. However, there are some limits for using these options to ensure your security and compliance with regulations. The maximum amount you can send per day using Wallet to Wallet Transfer is 100 KD and the maximum amount you can send in a month is 500 KD. The maximum amount you can receive per month using Incoming Bank Transfer is 1,000 KD."
SiDi,Digital Transformation,SiDi,Countries available for Super Transfer service:,"SiDi Wallet offers you a fast and secure service to transfer money internationally called Super Transfer. Super Transfer allows you to send money to more than 50 countries with a flat fee of 2 KD per transaction. Some of the countries available for Super Transfer are India, Pakistan, Philippines, Egypt, Jordan, Lebanon, Sri Lanka, Nepal, Bangladesh, Indonesia, Vietnam, Thailand, Malaysia, Singapore, China, Hong Kong, Japan, South Korea, Australia, New Zealand, Canada, USA, UK, France, Germany, Italy, Spain, Netherlands, Belgium, Switzerland, Sweden, Norway, Denmark, Finland, Ireland, Turkey, Morocco, Algeria, Tunisia and more. To view the full list of countries that you can transfer to using Super Transfer service please visit our website at https://sidiwallet.com/super-transfer/"
SiDi,Digital Transformation,SiDi,Difference between SiDi Wallet app and Warba Bank app:,"SiDi Wallet app is a separate application from Warba Bank app. SiDi Wallet app is designed for customers who want a simple and convenient way to manage their money without opening a bank account or visiting a branch. Warba Bank app is designed for customers who want a full range of banking services such as savings accounts, current accounts, credit cards, loans and investments. You can use both apps if you want to enjoy the benefits of both SiDi Wallet and Warba Bank."
SiDi,Digital Transformation,SiDi,Languages available for SiDi Wallet app:,"SiDi Wallet app is available in seven languages to suit your preferences and needs. You can choose from Arabic, English, Hindi, Tagalog (Filipino), Tamil (Indian), Bangla (Bangladeshi) or Urdu (Pakistani). You can change the language of the app anytime from the settings menu.
SiDi Wallet channels and contacts:
Sidi customers can reach Warba Bank for any questions or feedback about SiDi Wallet app or services please feel free to contact us through any of our support channels. You can follow us on Instagram @SiDi_Wallet Facebook @SiDiWallet Twitter @SiDi_Wallet or YouTube SiDi Wallet where we post updates news tips and how-to videos in seven languages."
SiDi,Digital Transformation,SiDi,SiDi customers only Call Back:,"If you are SiDi customer need to talk to one of our customer care agents you can request a call back from the SiDi app. To request a call back follow these steps:
1- Open SiDi app and slide the screen to view more options. Depending on the language you are using you may need to slide left or right.
2- Click on the call back button on the left. It looks like a phone icon with an arrow.
3- Enter your name mobile number and how we can help you with. You can also choose your preferred language from the drop-down menu.
4- Click on submit and wait for our call back team to contact you within 48 hours."
SiDi,Digital Transformation,SiDi,How to report a fraud case incident for SiDi customer:,SiDi Wallet takes your security and privacy very seriously. If you suspect any fraudulent activity on your account or card please report it immediately by calling 1825555 or visiting https://www.warbabank.com/english/report-card-fraud. 
SiDi,Digital Transformation,SiDi,Steps to block your card from the SiDi app for SiDi customers only:,"You can also block your card from the SiDi app if you lose it or it gets stolen. To block your card follow these steps:
1- Open SiDi app and go to the card section.
2- Click on the lock icon on the top right corner of your card image.
3- Confirm that you want to block your card and enter your PIN or biometric authentication.
4- Your card will be blocked and you will receive a confirmation message."
SiDi,Digital Transformation,SiDi,Draws and offers for SiDi account:,"SiDi Wallet rewards you for using its services and features. SiDi account has two monthly draws: SiDi Gold Draw and SiDi Cash Draw. SiDi Gold Draw is a special draw for all new SiDi customers who open an account during the promotional campaign period from January 15th to December 31st 2023. Each month one lucky winner will receive 100 grams of gold. To view more details about the prizes and winners visit https://sidiwallet.com/gold-draw/
SiDi Cash Draw is a regular draw for all SiDi customers who use their accounts for transactions such as deposits transfers payments or purchases. Each month 35 winners will share a total prize of 1000 KD. The prizes are as follows:
- 1st winner wins 200 KD
- 2nd and 3rd winner wins 100 KD
- 4 winners win 50 KD
- 8 winners win 25 KD
- 20 winners win 10 KD
To view more details about the prizes chances of winning and terms and conditions visit https://sidiwallet.com/sidi-draw/"
SiDi,Digital Transformation,SiDi,SiDi Wallet referral program:,"SiDi Wallet also has a referral program that allows you to earn money by inviting your friends and family to join SiDi. If you are a SiDi customer you can refer a friend and earn 0.250 KD for each friend who becomes a new SiDi customer. To view more details about the referral program and how to participate visit https://www.sidiwallet.com/sidi-referral-program/
SiDi Wallet has also partnered with STC to provide each SiDi customer with a bundle + SIM card with each application. The bundle includes unlimited calls within STC network 10 GB internet data and free STC pay wallet with 5 KD balance. To view more details about this offer and how to activate it visit https://www.sidiwallet.com/stc-offer/"
SiDi,Digital Transformation,SiDi,"increasing chances to win the SiDi cash draw:
How can Sidi customers increase chances to win the SiDi cash draw?","SiDi rewards you for using your digital wallet with a monthly cash draw. The more you use SiDi wallet, the more chances you have of winning the draw. Here are some ways to earn chances:
- Wallet-to-wallet transactions earn you 50 chances.
- Pay me link transactions (more than 10KD per link) earn you 100 chances.
- Mobile bill payment earns you 100 chances.
- Voucher payment earns you 100 chances.
- Other bank transfer-in earns you 100 chances.
- Civil ID update earns you 100 chances.
- KYC update earns you 100 chances.
- A minimum balance of 100 KD in the account (for a calendar month) earns you 1,000 chances.
For more information about the cash draw and previous winners, click on this link: https://sidiwallet.com/sidi-draw/"
SiDi,Digital Transformation,SiDi,"SiDi gold draw prizes:
What are the SiDi gold draw prizes?","SiDi also rewards you with a monthly gold draw. SiDi gold draw has two winners each month with one gold bullion bar for each winner. And one mega winner at the end of every quarter winning five gold bullion bars. For example, the January gold draw had two winners with one gold bullion bar for each winner. And the March gold draw had one winner who received five gold bullion bars.
For more information about the gold draw and previous winners, click on this link: https://sidiwallet.com/gold-draw/"
Digital Services,Digital Factory,gift service,"Warba Bank's gift service:
What is Warba Bank's gift service?",Warba Bank's gift service is a convenient way to purchase gift cards through the Warba Bank app and share them with your family and friends. You can choose from a variety of brands and categories to suit your preferences and budget.
Digital Services,Digital Factory,gift service,How do I use the gift card service?,"Using the gift card service is easy and simple. Here's how:
1. You can find the gift card service under the services category in the Warba Bank app.
2. Search for the category of the gift you want to purchase, such as fashion, home, jewelry, etc.
3. After selecting the gift card, choose the amount you wish to purchase, from 5 KD to 500 KD.
4. Enter the recipient's name, mobile number, and email address.
5. Confirm your payment and send the gift card."
Digital Services,Digital Factory,gift service,Where can I find the gift card service?,"You can find the gift card service in Warba Bank mobile app, available on iOS and Android under the services tab in Buy section. You can also access it through Warba Bank's website."
Digital Services,Digital Factory,gift service,What are the brands available in the gift card service?,"Warba Bank likes to give you the freedom of choice. We have partnered with several brands in different categories, such as fashion & lifestyle, home, jewelry & accessories, entertainment & leisure, health & beauty, and more. Some of the brands include H&M, Zara, IKEA, Starbucks, Carrefour, Xcite, and many others. You can browse through all the available brands in the Warba Bank app or website."
Digital Services,Digital Factory,gift service,How to buy a gift card:,"To buy a gift card, simply browse through the categories or search for a brand. Tap on the gift card you want to buy and select the amount and quantity. You can also add a personal message if you want. Then, tap on the buy button and confirm your payment details. You will receive a confirmation message and an email with your receipt."
Digital Services,Digital Factory,gift service,How to receive a gift card:,All gift cards are fulfilled instantly and will be available in the app. You can view the gift card voucher in the My Gift Cards section. Please ensure to open the gift card at the time of redemption to ensure a smooth redemption process.
Digital Services,Digital Factory,gift service,How to activate a gift card:,Most of the gift cards in the app do not require activation and are ready for redemption. Please check the gift card terms and conditions and follow the simple steps if it requires activation.
Digital Services,Digital Factory,gift service,How to redeem a gift card:,"Gift card purchases can be redeemed online or/and in-store. Please ensure to check the gift card Terms & Conditions to know more. To redeem online, simply enter the gift card code at checkout or follow the instructions on the voucher. To redeem in-store, show the gift card voucher on your phone or print it out and present it at the cashier."
Digital Services,Digital Factory,gift service,How to buy more than one gift card:,"Yes, you can buy more than one gift card without any restrictions or limitations. You can either buy multiple gift cards of the same brand or different brands. You can also buy multiple gift cards for yourself or for others."
Digital Services,Digital Factory,gift service,How to share a gift card:,"Yes, you can share your purchased gift cards with your family and friends. Please ensure to share the gift card voucher to ensure a smooth redemption process. You can share the voucher via email, SMS, WhatsApp, or any other app. You can also print it out and give it as a physical gift."
Digital Services,Digital Factory,gift service,How to check the validity of a gift card:,Please refer to the expiry date mentioned on the gift card details. You can also check the remaining balance and validity of your gift cards in the My Gift Cards section of the app.
Digital Services,Digital Factory,gift service,How to refund or cancel a gift card:,"No, Gift cards are non-refundable and cannot be canceled once issued. Please make sure you select the right brand and amount before buying a gift card."
Digital Services,Digital Factory,gift service,How to exchange a gift card:,"No, once the gift card is issued, you cannot exchange it for another brand. However, you can use your gift card to buy another gift card from the same brand or a different brand."
Digital Services,Digital Factory,gift service,How to use a gift card more than once:,"Yes, you can use any value from the available amount as long as it is not expired. Please ensure to check the gift card Terms & Conditions for more details. You can use your gift card for multiple transactions until the balance is zero."
